gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
foxh1	0.055176979765863665	4	20	2	3	1	0.0309400761348307	0.0	5	0.02	0.5750858283660742	0.26189098998887655	79	True	True	False
tfap2c	0.047006389396909	2	20	3	5	2	0.035817011806276895	0.7219280948873623	13	0.0125	11.095956872782512	0.8287430478309232	80	False	True	False
creb3l2	0.04517916722170366	2	20	0	5	2	0.0583543658684452	0.9709505944546688	8	0.02	4.194454607650467	0.8505450500556173	81	False	True	False
itga6a	0.042640603028861385	2	20	0	5	3	0.056493020956398	0.9602297178607612	7	0.025	1.5922971712445482	0.5601334816462736	82	False	True	False
six4b	0.0412610656703892	4	20	5	3	2	0.0177929379358288	0.9182958340544894	19	0.009090909090909	1.508927181418401	0.42189098998887653	83	True	True	False
irx7	0.04115926180929194	3	20	0	3	1	0.041029794454269394	0.0	5	0.05	2.9789911201855968	0.5782869855394883	84	False	True	False
otx2a	0.040130581068650396	3	20	1	3	2	0.0200745950116151	0.9182958340544894	9	0.0285714285714285	0.6267353341427733	0.3865183537263626	85	True	True	False
foxb1a	0.03961423409466034	4	20	4	2	2	0.015107575536435	1.0	11	0.025	2.331581218000679	0.4867185761957731	86	True	True	False
gli1	0.03960303931477505	3	20	0	3	1	0.0651219019052297	0.0	4	0.075	2.8222075526333423	0.6454282536151279	87	False	True	False
smtnl	0.03944257947928923	2	20	0	6	2	0.035073240083938195	0.7219280948873623	6	0.05	3.474149103395135	0.7880311457174638	88	False	True	False
lhx5	0.03595007872011174	4	20	4	2	1	0.024183077018238602	0.0	11	0.0166666666666666	1.3664404483433468	0.45579532814238044	89	True	True	False
notch1a	0.03390996131565088	3	20	2	2	2	0.0180031750545651	1.0	6	0.0333333333333333	14.965856035826675	0.9628476084538375	90	True	True	False
cd63	0.03300548847627002	4	20	1	2	1	0.032510471755385496	0.0	3	0.05	1.1332420229781746	0.5769076751946607	91	True	True	False
foxd3	0.03266764936380264	4	20	2	2	2	0.0134759051148928	1.0	10	0.02	1.7152949704069085	0.6068965517241379	92	True	True	False
atp2b1a	0.031348980014378	4	20	1	3	1	0.027316226766486602	0.0	17	0.0071428571428571	3.6662654484753476	0.8028476084538376	93	True	True	False
pmp22b	0.029722521540046256	4	20	4	3	1	0.0307852289317722	0.0	11	0.0166666666666666	0.4621542423214765	0.2931256952169077	94	True	True	False
myod1	0.02780988522081624	4	20	8	2	1	0.0181558749995023	0.0	18	0.01	3.892618222313097	0.5144827586206897	95	True	True	False
rreb1a	0.027041911384632692	4	20	1	3	2	0.0186141939655283	0.9182958340544894	4	0.0333333333333333	6.001908007984746	0.9444271412680756	96	True	True	False
foxd5	0.026921470329901855	4	20	1	2	1	0.016044514811860998	0.0	4	0.05	1.5881295331616838	0.4042714126807564	97	True	True	False
foxc1b	0.02580504101818364	1	20	6	2	2	0.0225914122697485	1.0	16	0.0166666666666666	4.405335533774812	0.7632480533926586	98	False	False	False
lamc1	0.024971285993236295	2	20	0	3	2	0.0550310703877549	0.9182958340544894	4	0.05	40.070987862648074	0.9981312569521691	99	False	True	False
mab21l2	0.024635682508323424	3	20	8	2	2	0.0137207876487753	1.0	13	0.0166666666666666	1.7072088838584807	0.36146829810901	100	True	True	False
fscn1a	0.024052717610796047	4	20	1	2	2	0.01679931509746	1.0	3	0.05	15.604739459111066	0.9222691879866518	101	True	True	False
mycn	0.021912610652621446	2	20	10	2	2	0.013751632967958	1.0	20	0.0076923076923076	20.63312100764942	0.9302780867630701	102	False	True	False
ndr2	0.021752114701812757	1	20	0	5	2	0.056540034963888895	0.9709505944546688	11	0.05	0.4821297948610467	0.35243604004449386	103	False	False	False
olig4	0.019696053475520815	2	20	0	2	1	0.0385979213296432	0.0	6	0.05	0.7130997355931556	0.28809788654060065	104	False	True	False
stox1	0.0186560473663558	2	20	0	3	2	0.0338151778591716	0.9182958340544894	3	0.0333333333333333	2.608800204625804	0.8093882091212459	105	False	True	False
tcf3b	0.017286253757160912	4	20	1	2	1	0.0173243528007281	0.0	4	0.05	27.041623204803102	0.996440489432703	106	True	True	False
dact2	0.015930951356477936	4	20	1	1	1	0.0146122558673797	0.0	5	0.0999999999999999	14.061894039827626	0.8922358175750834	107	False	True	False
dmd	0.0158384956725697	3	14	0	2	1	0.0591339307937908	0.0	2	0.035	0.46731901239599266	0.22024471635150167	108	False	True	False
foxi1	0.015321109815565486	1	20	0	6	2	0.0429743369384612	0.9709505944546688	7	0.0166666666666666	0.6704847247461513	0.33503893214682984	109	False	False	False
bmp4	0.015128642755047895	2	20	1	2	1	0.0420138446099373	0.0	3	0.0333333333333333	2.1183775417836888	0.5466963292547274	110	False	True	False
efna1a	0.014224729137634834	1	20	0	3	1	0.0373597608483591	0.0	5	0.0999999999999999	2.4004145195732915	0.7155506117908788	111	False	False	False
zswim5	0.014062203774170005	3	20	1	2	1	0.018555991774783502	0.0	13	0.0166666666666666	14.050363329760868	0.9932814238042269	112	True	True	False
myclb	0.01303075836824724	4	20	2	1	1	0.010271234147951	0.0	2	0.1	3.8731477607694162	0.71706340378198	113	False	True	False
klf3	0.012928022574271728	2	20	0	3	2	0.0323673664585007	0.9182958340544894	13	0.0142857142857142	0.6312622451110816	0.3793103448275862	114	False	True	False
her9	0.012788859883982037	4	20	6	1	1	0.0069405862553536	0.0	19	0.0125	13.039051919871099	0.8396440489432703	115	False	True	False
etv5a	0.012507220957924687	2	20	0	1	1	0.0290459291947082	0.0	1	0.1	8.06738450325761	0.9402002224694105	116	False	True	False
sox3	0.011668157893869888	3	20	5	1	1	0.0107054720297075	0.0	10	0.0166666666666666	4.916647821221971	0.6555283648498331	117	False	True	False
akap12b	0.011267562939226686	1	20	0	2	2	0.0569946899148441	1.0	2	0.1	22.192084767086435	0.9650723025583983	118	False	False	False
cdx4	0.01103987749914977	1	20	10	1	1	0.0256382693835261	0.0	7	0.0833333333333333	29.399379393768605	0.6828476084538376	119	False	False	False
lbx2	0.010939982408185868	4	20	4	1	1	0.0078774131182184	0.0	8	0.02	1.5570146913181355	0.4588654060066741	120	False	True	False
lima1a	0.010627167656461586	2	20	1	2	1	0.0300962212497265	0.0	3	0.0333333333333333	11.04162874938375	0.932146829810901	121	False	True	False
vgll4l	0.009535948325843875	2	20	4	2	1	0.0156283260842252	0.0	7	0.0166666666666666	0.8694772425509315	0.3544827586206897	122	False	True	False
twist2	0.009465621789768883	4	20	3	1	1	0.0080635100605585	0.0	6	0.0333333333333333	1.285416858554338	0.5462068965517242	123	False	True	False
lmnb1	0.009453128721725703	2	16	0	3	1	0.042421080018991496	0.0	4	0.02	20.122301245556656	0.9939043381535039	124	False	True	False
tlcd5a	0.009396582775550718	2	20	0	4	1	0.027015350274623498	0.0	9	0.05	2.338644421272639	0.7820689655172414	125	False	True	False
chrd	0.008686759328089566	4	20	1	1	1	0.009325912932149	0.0	3	0.0666666666666666	3.4592398804248137	0.5033592880978865	126	False	True	False
