gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
rplp2l	49	26	0.47835372636262513	0.17578803704570523	0.43759756027896113	130.70024799944184	26	True		1.3586865959231391	1.304137112696182	1.9855657549736307	2.077915156535987	0.4102453005700264	1.6094382595433356	12.0
dkc1	41	23	0.5810456062291435	0.16261890753944155	0.3305788579059537	62.15378605515911	23	True		1.4545804567194625	1.4143043347596491	1.8216952583407708	2.09211635327163	0.2847291410251853	1.6014263773679858	13.0
lmnb1	28	16	0.4916573971078977	0.17790944512056217	0.3674576804764453	50.29587051595472	16	True		1.4449257182768445	1.3444492329086704	1.7744105494497802	1.8066341152468561	0.3699355283897421	1.5767196507460186	14.0
ccnf	39	13	0.35087875417130143	0.05999540800246676	0.20176423721916237	27.141576557175974	13	True		1.4933460907072513	1.3094933210534248	1.7000082223266124	1.7279534329989596	0.3868186788931721	1.5760109433549958	15.0
nsd2	43	33	0.28520578420467185	0.07904066673305611	0.3031251316123955	31.633572075065604	33	True		1.3968588679672171	1.3257660909341464	1.8347211506606582	1.944668488881706	0.36721265990526786	1.5720037810445935	16.0
ndr1	50	35	0.0006229143492769744	0.004782665221056571	0.21700938203941944	2.513393741512248	35	True		1.364173490233702	1.3912810139131169	1.8672312583643607	2.0020648056486263	0.2544158095470824	1.5653965974859654	17.0
aldob	55	34	0.21236929922135706	0.08710254953713459	0.33565707086902674	161.66612680257413	34	True		1.299311173314233	1.3212091338293241	1.9531633286517558	1.9974996219621453	0.4390369180733494	1.5608520354492421	18.0
fbln2	30	27	0.014015572858731925	0.0342584997176864	0.459002937944142	41.31917382630534	27	True		1.2090717956269905	1.2578711192514673	2.0750610786032717	2.2713452202603928	0.4647516816408248	1.555467508817503	19.0
adka	55	27	0.22580645161290322	0.0692000668203266	0.183481378064534	18.57414918160561	27	True		1.3009015662480532	1.2426007462399438	1.918753086258352	1.9982475491282736	0.4449405424328716	1.5480421742521728	20.0
mcm3	57	32	0.39590656284760845	0.12041752339232151	0.36972777361034737	75.71961418120921	32	True		1.230252019127628	1.151391603917379	1.9896685164610917	2.030375845414162	0.49733883192262013	1.5340186180610136	21.0
six7	36	31	0.07919911012235818	0.012909935350419514	0.3110868514484621	51.53804755372656	31	True		1.1796335312255732	1.200745945954354	2.0575431156933686	2.2718839686103283	0.4550102604164761	1.5307973650126914	22.0
