gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
NME6	20	0	0	20	0	0.0	0.0	0.0	9145
TLR6	20	0	0	20	0	0.0	0.0	0.0	9146
CHRDL2	20	0	0	20	0	0.0	0.0	0.0	9147
DTX3	20	0	0	20	0	0.0	0.0	0.0	9148
ZNF625	20	0	0	20	0	0.0	0.0	0.0	9149
ZFAND5	20	0	0	20	0	0.0	0.0	0.0	9150
SCRN3	20	0	0	20	0	0.0	0.0	0.0	9151
CNDP1	20	0	0	20	0	0.0	0.0	0.0	9152
CCDC59	16	0	0	16	0	0.0	0.0	0.0	9153
ZC3HC1	20	0	0	20	0	0.0	0.0	0.0	9154
KAT5	20	0	0	20	0	0.0	0.0	0.0	9155
TNFSF9	20	0	0	20	0	0.0	0.0	0.0	9156
FGL1	20	0	0	20	0	0.0	0.0	0.0	9157
PDZK1IP1	20	0	0	20	0	0.0	0.0	0.0	9158
ZNF286A	18	0	0	18	0	0.0	0.0	0.0	9159
ZNF606	20	0	0	20	0	0.0	0.0	0.0	9160
SHISA5	20	0	0	20	0	0.0	0.0	0.0	9161
ZNF134	20	0	0	20	0	0.0	0.0	0.0	9162
ZNF550	20	0	0	20	0	0.0	0.0	0.0	9163
CARMIL2	20	0	0	20	0	0.0	0.0	0.0	9164
HLA-DMA	20	0	0	20	0	0.0	0.0	0.0	9165
PGS1	20	0	0	20	0	0.0	0.0	0.0	9166
DDX51	20	0	0	20	0	0.0	0.0	0.0	9167
GALT	20	0	0	20	0	0.0	0.0	0.0	9168
STIP1	20	0	0	20	0	0.0	0.0	0.0	9169
SUMO1	20	0	0	20	0	0.0	0.0	0.0	9170
HPS4	20	0	0	20	0	0.0	0.0	0.0	9171
CCNJ	17	0	0	17	0	0.0	0.0	0.0	9172
PCDHB5	20	0	0	20	0	0.0	0.0	0.0	9173
PCDHB12	20	0	0	20	0	0.0	0.0	0.0	9174
ADAM2	16	0	0	16	0	0.0	0.0	0.0	9175
MMP25	20	0	0	20	0	0.0	0.0	0.0	9176
TM7SF2	20	0	0	20	0	0.0	0.0	0.0	9177
CHCHD2	20	0	0	20	0	0.0	0.0	0.0	9178
MCRIP1	20	0	0	20	0	0.0	0.0	0.0	9179
PSKH1	20	0	0	20	0	0.0	0.0	0.0	9180
LRRC72	20	0	0	20	0	0.0	0.0	0.0	9181
DNAJC2	17	0	0	17	0	0.0	0.0	0.0	9182
KMT2D	20	0	0	20	0	0.0	0.0	0.0	9183
TRAFD1	20	0	0	20	0	0.0	0.0	0.0	9184
ZNF48	20	0	0	20	0	0.0	0.0	0.0	9185
PMM1	20	0	0	20	0	0.0	0.0	0.0	9186
GGA1	20	0	0	20	0	0.0	0.0	0.0	9187
ZNF208	6	0	0	6	0	0.0	0.0	0.0	9188
