gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
sp5a	20	0	0	20	0	0.0	0.0	0.0	335
fzd7b	20	0	0	20	0	0.0	0.0	0.0	336
mki67	18	0	0	18	0	0.0	0.0	0.0	337
tpx2	20	0	0	20	0	0.0	0.0	0.0	338
zeb2a	20	0	0	20	0	0.0	0.0	0.0	339
ppan	20	0	0	20	0	0.0	0.0	0.0	340
cux1a	20	0	0	20	0	0.0	0.0	0.0	341
nr6a1a	20	0	0	20	0	0.0	0.0	0.0	342
cdc42ep4a	20	0	0	20	0	0.0	0.0	0.0	343
rcc1	20	0	0	20	0	0.0	0.0	0.0	344
erf	20	0	0	20	0	0.0	0.0	0.0	345
pttg1	20	0	0	20	0	0.0	0.0	0.0	346
atoh1c	20	0	0	20	0	0.0	0.0	0.0	347
foxp2	20	0	0	20	0	0.0	0.0	0.0	348
sox17	20	0	0	20	0	0.0	0.0	0.0	349
her5	20	0	0	20	0	0.0	0.0	0.0	350
si:ch211-155e24.3	20	0	0	20	0	0.0	0.0	0.0	351
kmt5aa	20	0	0	20	0	0.0	0.0	0.0	352
nanog	20	0	0	20	0	0.0	0.0	0.0	353
her3	20	0	0	20	0	0.0	0.0	0.0	354
drll.2	20	0	0	20	0	0.0	0.0	0.0	355
