cell	x	y	z	x_standardized	y_standardized	z_standardized	domain
E1_120.0	726.2278135471993	-1359.3517623785283	-4.992439515857087	-0.30165624709265304	-1.6764547763175925	-1.495324522769125	0
E1_122.0	712.75529425156	-1359.5125224816582	-9.972315460894292	-0.4254163358870864	-1.6768050370695513	-1.5591463906882965	0
E1_123.0	731.3171172442671	-1376.4910354479098	-5.3984938863540695	-0.25490532667238497	-1.7137974661792554	-1.5005284974640545	0
E1_126.0	758.0798870845033	38.22809605389318	2.558067805346553	-0.0090594904831071	1.3685630023875415	-1.3985575578296008	1
E1_128.0	723.2796591220678	49.67233768950575	0.38149479684794896	-0.3287383276914967	1.393497476817736	-1.4264524203920443	2
E1_129.0	739.0337962381332	38.60713667859227	-4.12477128032539	-0.18401903907299616	1.3693888481766723	-1.484204525376228	2
E1_131.0	713.6213589909243	24.59438851873813	-0.9659532004824771	-0.41746056705919266	1.3388581654268987	-1.4437212538053097	2
E1_132.0	784.2166188180697	-498.8764558951639	0.03298123576916937	0.23103548872315466	0.19833083294087764	-1.4309189546408294	1
E1_133.0	764.7201357040759	-523.1652017107343	-3.7050204663376203	0.05193858572981162	0.14541102132179928	-1.4788250176726294	0
E1_134.0	758.843437615112	-525.02730838977	11.302830284156478	-0.002045428792525562	0.1413539022174433	-1.2864850720755479	0
E1_135.0	742.4373068129463	-565.1686701876611	-8.012122985748409	-0.15275400528766647	0.053894742300018346	-1.5340246513868208	0
E1_137.0	717.445472066893	-619.6781314100025	12.400348407295406	-0.38233183104060464	-0.06486933227375218	-1.2724193287785337	0
E1_138.0	773.5310955226404	-740.1136637674254	18.577841977151746	0.13287706097569058	-0.32727175243134266	-1.1932488468150606	0
E1_140.0	758.740026779488	-742.8025206665468	-6.906908685851981	-0.002995372445846271	-0.3331301776317475	-1.519860274231871	0
E1_142.0	790.5094594799918	-757.4263239037132	39.62052082256947	0.28884223607298287	-0.36499221440966984	-0.9235668136157862	0
E1_144.0	739.2509435970135	-745.555198682988	2.809919609015521	-0.18202429882978105	-0.3391276549483681	-1.3953298363509192	0
E1_145.0	729.4159339339152	-740.1629810194742	30.400619255995753	-0.2723698119806234	-0.3273792038291139	-1.0417286607188334	0
E1_148.0	753.4617608274019	-760.3688774866571	2.212626395859795	-0.05148212155165311	-0.37140338864117795	-1.402984719520656	0
E1_149.0	706.3583596675085	-743.889873457559	-12.960342166997897	-0.4841793018002734	-0.33549927916135214	-1.5974408076337525	0
E1_150.0	760.0851391745714	-787.041279750219	7.092315801644869	0.009360982427432954	-0.42951666109805087	-1.3404468378184105	0
E1_151.0	742.0798761621102	-780.7392191748538	-1.9092164811637686	-0.15603740374601202	-0.41578586326300776	-1.4558100739239392	0
E1_152.0	707.6453093626152	-766.9975350573525	-6.3189136101443	-0.4723572360792816	-0.38584576918203334	-1.5123245555768035	0
E1_153.0	752.557368014388	-797.409790528954	-16.54042422466396	-0.05978997640697192	-0.4521073556257728	-1.643322979548469	0
E1_154.0	739.7264199524625	-789.5608381529714	-18.370099628500064	-0.17765651915333472	-0.43500622227380525	-1.6667720178874574	0
E1_155.0	749.7315961134265	-790.847190144275	64.59946721313547	-0.08574783727186655	-0.4378088991008638	-0.6034377511865302	0
E1_156.0	748.0116551585604	-793.843143054217	17.205688021086818	-0.1015474097663964	-0.4443364186697054	-1.2108343106931352	0
E1_157.0	786.5849753325612	-816.8206052922227	-9.132205287470963	0.25279148001909646	-0.4943992330427822	-1.548379576189793	0
