gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
dact2	20	1	1	18	1	0.0146122558673797	0.0	0.010128443956094756	0.35	0.011127232995251944	104
szl	20	2	1	17	1	0.0107996834916956	0.0	0.007485770163208591	0.35	0.010377480965895592	105
her9	20	6	1	13	1	0.0069405862553536	0.0	0.004810847794331456	0.35	0.010003876754231639	106
myclb	20	2	1	17	1	0.010271234147951	0.0	0.007119476990523267	0.35	0.009869690806085215	107
lbx2	20	4	1	15	1	0.0078774131182184	0.0	0.005460206692999011	0.35	0.00978337704612338	108
krt99	20	11	1	8	1	0.0054369588901599	0.0	0.003768612725534664	0.35	0.009666300788881508	109
twist2	20	3	1	16	1	0.0080635100605585	0.0	0.0055891992638928785	0.35	0.008995469195457965	110
vent	20	1	1	18	1	0.0117322954443191	0.0	0.008132207508726076	0.35	0.008934143103085542	111
raraa	20	1	1	18	1	0.0112567949856172	0.0	0.007802615706421892	0.35	0.008572049498829896	112
dld	20	7	1	12	1	0.0055105051544039	0.0	0.003819591111236109	0.35	0.00839249946498294	113
gata3	20	8	1	11	1	0.0052535563280807	0.0	0.0036414877567219964	0.35	0.008384835424948398	114
grhl1	20	6	1	13	1	0.0057521252068918	0.0	0.003987069369384843	0.35	0.008290877676258069	115
msgn1	20	5	1	14	1	0.0060333369227212	0.0	0.004181990477352416	0.35	0.008137777713132741	116
pcdh8	20	5	1	14	1	0.005686217662915	0.0	0.003941385741099694	0.35	0.007669582514947792	117
tshz3b	20	1	1	18	1	0.0097950924766575	0.0	0.006789440733519078	0.35	0.007458963023027884	118
klf7a	20	1	1	18	1	0.0097536283588518	0.0	0.006760699997167651	0.35	0.007427388096886836	119
tbx16l	20	4	1	15	1	0.0059713983153494	0.0	0.004139057906284844	0.35	0.007416196197269116	120
kazald2	20	2	1	17	1	0.0075242352539408	0.0	0.005215402452138809	0.35	0.007230083010370881	121
chrd	20	1	1	18	1	0.009325912932149	0.0	0.006464230255066612	0.35	0.00710168279499637	122
znf185	20	2	1	17	1	0.0073596025712419	0.0	0.005101287772298047	0.35	0.007071886473186631	123
etv4	20	1	1	18	1	0.009072476281386	0.0	0.006288561355139683	0.35	0.006908690782799837	124
mef2d	20	3	1	16	1	0.0060631747825504	0.0	0.004202672505766969	0.35	0.0067639404643257805	125
her6	20	3	1	16	1	0.0057428415473809	0.0	0.003980634426969585	0.35	0.006406583962305239	126
fn1b	20	4	1	15	1	0.005065180975752	0.0	0.0035109159123683713	0.35	0.006290716831649485	127
ism1	20	3	1	16	1	0.0053137812941403	0.0	0.0036832325221455263	0.35	0.005927934061451282	128
ripply1	20	1	1	18	1	0.0076601798411339	0.0	0.005309632059464092	0.35	0.0058332270288334155	129
bmp2b	20	2	1	17	1	0.0060402436810451	0.0	0.004186777877411437	0.35	0.00580410656271698	130
efemp2b	20	3	1	16	1	0.005143720178126	0.0	0.0035653551390573365	0.35	0.005738217732090631	131
lef1	20	1	1	18	1	0.0075158784118831	0.0	0.00520960993062813	0.35	0.005723341488955482	132
bmp7a	20	1	1	18	1	0.0058547792925425	0.0	0.004058223759426585	0.35	0.004458414492270941	133
arl4d	20	1	1	18	1	0.005244473482169	0.0	0.003635192007686841	0.35	0.003993666611312861	134
